productid,date,saleprice
162,1/1/00,116.34
1224,1/1/00,152.84
1638,1/1/00,345.79
2741,1/1/00,160.85
3333,1/1/00,152.79
6024,1/1/00,332.39
6263,1/1/00,235.77
6446,1/1/00,2.31
8084,1/1/00,47.88
13860,1/1/00,403.3
15032,1/1/00,22.13
15695,1/1/00,422.96
18231,1/1/00,291.31
19200,1/1/00,87.43
19425,1/1/00,107.94
21248,1/1/00,134.89
22660,1/1/00,264.95
832,1/2/00,22.56
3948,1/2/00,409.13
10017,1/2/00,206.95
10241,1/2/00,164.74
10764,1/2/00,74.35
20449,1/2/00,41.7
22494,1/2/00,363.35
1967,1/3/00,60.95
2350,1/3/00,387.3
2861,1/3/00,216.64
3866,1/3/00,132.26
5416,1/3/00,255.07
5572,1/3/00,20.15
6161,1/3/00,14.44
6877,1/3/00,136.65
7201,1/3/00,467.75
9253,1/3/00,140.59
9768,1/3/00,157.19
15163,1/3/00,5.22
21827,1/3/00,331.39
23026,1/3/00,69.92
24108,1/3/00,38.78
716,1/4/00,100.04
2383,1/4/00,22.8
4350,1/4/00,104.23
5061,1/4/00,259.67
5235,1/4/00,125.64
9176,1/4/00,306.36
9220,1/4/00,8.3
9777,1/4/00,48.23
10627,1/4/00,143.81
18445,1/4/00,461.95
19264,1/4/00,43.53
19766,1/4/00,348.69
20237,1/4/00,47.99
21450,1/4/00,290.91
23908,1/4/00,389.51
24597,1/4/00,334.64
1440,1/5/00,213.53
1831,1/5/00,65.76
4332,1/5/00,86.67
8456,1/5/00,25.42
12458,1/5/00,237.5
13921,1/5/00,54.25
17687,1/5/00,54.17
20400,1/5/00,369.55
21494,1/5/00,32.46
23687,1/5/00,177.65
267,1/6/00,181.62
504,1/6/00,350.19
1208,1/6/00,338.09
4307,1/6/00,241.21
6865,1/6/00,1.23
8698,1/6/00,44.23
9447,1/6/00,134.57
9470,1/6/00,226.98
10114,1/6/00,42.81
10778,1/6/00,20.05
16648,1/6/00,46.99
16731,1/6/00,37.58
19514,1/6/00,19.61
19675,1/6/00,333.23
20199,1/6/00,58.58
22716,1/6/00,301.49
1151,1/7/00,226.42
2672,1/7/00,186.32
3950,1/7/00,147.38
5092,1/7/00,69.57
9475,1/7/00,34.74
9595,1/7/00,17.33
9730,1/7/00,113.09
11370,1/7/00,75.63
13356,1/7/00,15.1
14474,1/7/00,223.4
15441,1/7/00,227.29
16400,1/7/00,386.34
17964,1/7/00,139.22
18284,1/7/00,204.32
20835,1/7/00,77.77
22909,1/7/00,68.42
23841,1/7/00,423.21
366,1/8/00,440.68
527,1/8/00,145.03
958,1/8/00,172.95
1690,1/8/00,73.14
3512,1/8/00,48.08
3662,1/8/00,351.4
4696,1/8/00,79.01
5171,1/8/00,62.81
8365,1/8/00,227.19
9100,1/8/00,79.03
10226,1/8/00,33.2
10345,1/8/00,213.44
12335,1/8/00,475.81
19127,1/8/00,120.94
21948,1/8/00,414.3
22724,1/8/00,109.31
22741,1/8/00,339.5
23458,1/8/00,390.91
2068,1/9/00,215.79
3507,1/9/00,334.2
8123,1/9/00,13.25
11044,1/9/00,145.66
13140,1/9/00,135.35
13803,1/9/00,232.06
14402,1/9/00,303.36
15326,1/9/00,203.97
16765,1/9/00,239.51
17847,1/9/00,342.35
19405,1/9/00,279.19
454,1/10/00,62.99
1308,1/10/00,203.2
2266,1/10/00,39.66
2340,1/10/00,213.73
4922,1/10/00,175.01
5162,1/10/00,214.02
6868,1/10/00,268.29
8824,1/10/00,410.85
15816,1/10/00,404.5
16445,1/10/00,97.28
19701,1/10/00,113.39
21700,1/10/00,61.48
24064,1/10/00,461.31
101,1/11/00,120.85
906,1/11/00,396.08
2157,1/11/00,365.49
3245,1/11/00,350.22
4303,1/11/00,53.13
5987,1/11/00,476.18
7117,1/11/00,19.35
8548,1/11/00,19.75
9294,1/11/00,5.47
12009,1/11/00,75.7
13619,1/11/00,175.43
15903,1/11/00,27.23
16904,1/11/00,269.47
17927,1/11/00,46.37
20878,1/11/00,45.86
255,1/12/00,344.65
965,1/12/00,51.64
1275,1/12/00,81.69
2513,1/12/00,232.11
3262,1/12/00,144.23
3943,1/12/00,47.85
5095,1/12/00,485.26
7104,1/12/00,9.11
9102,1/12/00,128.53
9775,1/12/00,8.57
10479,1/12/00,81.3
11774,1/12/00,174.36
14962,1/12/00,417.57
14963,1/12/00,59.35
15397,1/12/00,347.82
15644,1/12/00,153.36
16156,1/12/00,358.08
18167,1/12/00,487.52
18488,1/12/00,160.88
20872,1/12/00,10.51
562,1/13/00,17.14
1238,1/13/00,409.08
6107,1/13/00,17.26
6384,1/13/00,224.79
8019,1/13/00,35.12
9280,1/13/00,380.27
12360,1/13/00,75.26
13431,1/13/00,9.96
15296,1/13/00,10.79
17200,1/13/00,80.66
17483,1/13/00,237.67
25291,1/13/00,6755.27
95,1/14/00,74.19
1755,1/14/00,99.93
2710,1/14/00,182.33
5318,1/14/00,140.7
5888,1/14/00,100.86
6116,1/14/00,290.1
6468,1/14/00,425.22
8993,1/14/00,44.6
10236,1/14/00,18.39
10559,1/14/00,40.24
11293,1/14/00,29.91
13475,1/14/00,42.27
16122,1/14/00,299.12
18937,1/14/00,139.15
21418,1/14/00,361.12
24668,1/14/00,314.52
52,1/15/00,82.35
530,1/15/00,75.29
1295,1/15/00,14.68
4530,1/15/00,187.04
4749,1/15/00,199.02
4814,1/15/00,235.01
5228,1/15/00,305.57
8581,1/15/00,57.47
9854,1/15/00,488.88
11657,1/15/00,51.25
12563,1/15/00,252.6
13057,1/15/00,207.92
14457,1/15/00,175.95
16580,1/15/00,159.71
647,1/16/00,176.88
835,1/16/00,379.15
2678,1/16/00,288.29
2760,1/16/00,200.86
3214,1/16/00,386.65
8505,1/16/00,17.54
9039,1/16/00,183.57
11445,1/16/00,302
12093,1/16/00,248.91
15389,1/16/00,152.9
17821,1/16/00,201.07
18677,1/16/00,114.62
21097,1/16/00,217.68
24198,1/16/00,117.76
748,1/17/00,117.11
3103,1/17/00,210.84
3621,1/17/00,31.55
3801,1/17/00,152.11
4230,1/17/00,289.45
6170,1/17/00,130.13
7499,1/17/00,247.21
7514,1/17/00,2.86
8358,1/17/00,43.93
12554,1/17/00,22.82
14940,1/17/00,465.31
19266,1/17/00,272.31
21001,1/17/00,58.62
24708,1/17/00,39.37
24737,1/17/00,244.91
377,1/18/00,177.42
3532,1/18/00,127.46
4706,1/18/00,137.13
5747,1/18/00,119.67
7195,1/18/00,231.65
8664,1/18/00,156.82
9215,1/18/00,20.93
9881,1/18/00,25.42
9944,1/18/00,59.56
19785,1/18/00,108.31
22625,1/18/00,307.71
2257,1/19/00,46.67
2977,1/19/00,199.39
4637,1/19/00,239.24
7388,1/19/00,74.09
8411,1/19/00,35.95
9419,1/19/00,162.13
9466,1/19/00,175.15
9711,1/19/00,64.34
10856,1/19/00,277.97
11409,1/19/00,75.21
11831,1/19/00,249.38
12032,1/19/00,272.23
12166,1/19/00,70.9
22866,1/19/00,177.23
23108,1/19/00,70.65
24298,1/19/00,120.97
97,1/20/00,70.8
219,1/20/00,140.76
540,1/20/00,454.68
1924,1/20/00,472.15
4242,1/20/00,85.68
4465,1/20/00,251.46
5048,1/20/00,158.93
5395,1/20/00,62.65
